,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
41,Strategery,https://is3-ssl.mzstatic.com/image/thumb/Purple127/v4/a9/80/3c/a9803cb6-010d-1eef-27cc-ba32b71e0eb8/source/512x512bb.jpg,4.0,2798.0,1.99,,"Games, Board, Strategy, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
42,5x5 Shogi (MiniShogi) K55,https://is4-ssl.mzstatic.com/image/thumb/Purple3/v4/bd/df/2d/bddf2d0c-12ff-9f06-556c-554a3fb56866/source/512x512bb.jpg,4.0,16.0,2.99,,"Games, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
43,Deep Green Chess,https://is4-ssl.mzstatic.com/image/thumb/Purple49/v4/be/5f/f3/be5ff3b4-73ee-fc90-76c6-2756fba37b5e/source/512x512bb.jpg,4.0,483.0,7.99,,"Games, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
44,Jewel Lines,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/f4/19/9f/f4199f4b-b2cd-4005-3c0c-dbe7435c9689/source/512x512bb.jpg,3.0,75.0,2.99,,"Games, Entertainment, Puzzle, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
45,Lux DLX 3 - Map Conquest Game,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/18/db/3b/18db3ba4-7a4b-a2d1-040a-cd7b41bcc392/source/512x512bb.jpg,4.0,5629.0,4.99,,"Games, Strategy, Board, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
46,ChartFight SP,https://is2-ssl.mzstatic.com/image/thumb/Purple128/v4/d1/bf/ae/d1bfaec7-b0f4-dcba-13a4-0e53dd1a71a1/source/512x512bb.jpg,3.0,2482.0,0.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
47,Robo Logic,https://is5-ssl.mzstatic.com/image/thumb/Purple/v4/5c/e2/12/5ce212d5-33a7-f24f-f20d-4c50d81a80ea/source/512x512bb.jpg,3.5,77.0,0.99,,"Games, Puzzle, Education, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
48,RoboLogic Lite,https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/62/cf/47/62cf47b6-414d-162b-1992-ccae1fcefd8a/source/512x512bb.jpg,3.0,1461.0,0.0,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
49,Kakinoki Shogi (Japanese Chess),https://is4-ssl.mzstatic.com/image/thumb/Purple3/v4/9b/d4/16/9bd41681-d977-120b-8134-dbe5ad30d130/source/512x512bb.jpg,4.0,75.0,4.99,,"Games, Strategy, Board",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
50,Kings Corners Free,https://is1-ssl.mzstatic.com/image/thumb/Purple/v4/3f/71/44/3f714409-c36e-78c1-a27d-0c2c7010262a/source/512x512bb.jpg,2.5,1741.0,0.0,,"Games, Entertainment, Card, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
